0.53,0.42,0.135,0.677,0.21,9
0.53,0.415,0.15,0.7775,0.33,20
0.545,0.425,0.125,0.768,0.26,16
0.55,0.44,0.15,0.8945,0.32,19
0.525,0.38,0.14,0.6065,0.21,14
0.535,0.405,0.145,0.6845,0.205,10
0.47,0.355,0.1,0.4755,0.185,10
0.44,0.34,0.1,0.451,0.13,10
0.565,0.44,0.155,0.9395,0.27,12
0.55,0.415,0.135,0.7635,0.2,9
0.615,0.48,0.165,1.1615,0.305,10
0.56,0.44,0.14,0.9285,0.3,11
0.58,0.45,0.185,0.9955,0.285,11
0.68,0.56,0.165,1.639,0.46,15
0.68,0.55,0.175,1.798,0.455,19
0.705,0.55,0.2,1.7095,0.49,13
0.54,0.475,0.155,1.217,0.34,16
0.45,0.355,0.105,0.5225,0.145,8
0.575,0.445,0.135,0.883,0.26,11
0.45,0.335,0.105,0.425,0.115,9
0.55,0.425,0.135,0.8515,0.27,14
0.46,0.375,0.12,0.4605,0.15,7
0.525,0.425,0.16,0.8355,0.245,9
0.47,0.36,0.12,0.4775,0.15,10
0.5,0.4,0.14,0.6615,0.22,8
0.505,0.4,0.125,0.583,0.175,7
0.53,0.41,0.13,0.6965,0.2,10
0.565,0.44,0.16,0.915,0.32,12
0.595,0.495,0.185,1.285,0.485,13
0.475,0.39,0.12,0.5305,0.17,10
0.4,0.32,0.11,0.353,0.1,8
0.595,0.475,0.17,1.247,0.425,20
0.605,0.45,0.195,1.098,0.315,13
0.6,0.475,0.15,1.0075,0.28,15
0.6,0.47,0.15,0.922,0.305,10
0.555,0.425,0.14,0.788,0.285,11
0.615,0.475,0.17,1.1025,0.345,14
0.575,0.445,0.14,0.941,0.285,9
0.52,0.425,0.165,0.9885,0.32,16
0.57,0.465,0.18,1.295,0.44,12
0.46,0.355,0.13,0.517,0.165,9
0.575,0.45,0.16,0.9775,0.33,12
0.625,0.495,0.165,1.262,0.39,10
0.475,0.375,0.125,0.5785,0.155,10
0.52,0.41,0.155,0.727,0.235,12
0.545,0.43,0.165,0.802,0.28,11
0.5,0.4,0.125,0.6675,0.22,10
0.51,0.39,0.135,0.6335,0.2,9
0.435,0.395,0.105,0.3635,0.13,9
0.545,0.41,0.125,0.6935,0.21,11
0.53,0.415,0.115,0.5915,0.18,11
0.49,0.375,0.135,0.6125,0.22,11
0.56,0.43,0.15,0.8825,0.31,9
0.47,0.365,0.105,0.4205,0.14,9
0.515,0.425,0.14,0.766,0.255,14
0.44,0.35,0.125,0.4035,0.129,9
0.325,0.26,0.09,0.1915,0.062,7
0.425,0.33,0.115,0.406,0.1355,8
0.305,0.23,0.08,0.156,0.048,7
0.405,0.325,0.11,0.3555,0.117,9
0.565,0.445,0.155,0.826,0.2475,10
0.55,0.45,0.145,0.741,0.2665,10
0.49,0.38,0.125,0.549,0.174,10
0.605,0.5,0.185,1.1185,0.335,9
0.635,0.515,0.19,1.3715,0.45,10
0.605,0.485,0.16,1.0565,0.355,10
0.565,0.45,0.135,0.9885,0.31,12
